trade_id,logged_at,ticker,timeframe,asset_type,trade_source,entry_price_idr,sl_raw_idr,tp1_raw_idr,tp2_raw_idr,position_size_idr,score,regime,confidence,counter_trend_valid,component_trend,component_momentum,component_volume,component_structure,status,closed_at,exit_price_idr,exit_reason,r_multiple,mae_r,mfe_r,bars_to_outcome,net_r_multiple,last_checked_at
PTBA_20260828041749543840,2026-08-28 04:17:49,PTBA,1H,stock,SYSTEM,2540.0,2468.8174079851115,2611.1825920148885,2682.3651840297775,,3,TRENDING_UP,D — Very low conviction,False,0.5133600690123801,-0.35551862791539607,0.0,0.0,CLOSED,2026-09-01 07:54:38,2682.3651840297775,WIN - TP2 HIT,2.00,-0.42,3.09,11,,2026-08-31 09:52:15
BBCA_20260828041751496562,2026-08-28 04:17:51,BBCA,1H,stock,SYSTEM,6475.0,6383.083380922042,6566.916619077958,6658.833238155916,,2,SQUEEZE,D — Very low conviction,False,0.7385728815024476,-0.5035620553021443,0.0,1.0,CLOSED,2026-09-01 07:54:38,6566.916619077958,WIN - TP1 HIT,1.00,-0.82,1.09,11,,2026-08-31 09:52:15
CTRA_20260828041753422409,2026-08-28 04:17:53,CTRA,1H,stock,SYSTEM,635.0,618.2348413136665,651.7651586863335,668.5303173726669,,2,TRENDING_UP,D — Very low conviction,False,0.8293589281237548,-0.48227680507731335,1.0,0.0,CLOSED,2026-09-04 03:03:07,651.7651586863335,WIN - TP1 HIT,1.00,-0.60,1.19,32,,2026-09-04 02:48:13
PNBN_20260828041755483526,2026-08-28 04:17:55,PNBN,1H,stock,SYSTEM,900.0,885.4744962471265,914.5255037528735,929.0510075057471,,2,SQUEEZE,D — Very low conviction,False,0.3323106880705692,-0.2873437888929587,0.0,1.0,CLOSED,2026-09-03 04:03:09,914.5255037528735,WIN - TP1 HIT,1.00,-0.69,1.03,26,,2026-09-03 03:48:12
HEMI_20260828085158323838,2026-08-28 08:51:58,HEMI,1H,crypto,SYSTEM,193.3252,166.2918326219591,220.3585673780409,247.3919347560818,,2,TRENDING_UP,D — Very low conviction,False,0.7349089949973431,-0.36062315997606226,-0.5,0.0,CLOSED,2026-08-31 09:52:15,220.3585673780409,WIN - TP1 HIT,1.00,-0.09,1.27,5,,2026-08-28 08:52:00
HEMI_20260831095257435347,2026-08-31 09:52:57,HEMI,1H,crypto,SYSTEM,275.04544000000004,241.20419054853966,308.8866894514604,342.7279389029208,,9,TRENDING_UP,A — High conviction,False,0.875,-0.476901261408679,1.0,1.0,CLOSED,2026-09-01 07:54:43,308.8866894514604,WIN - TP1 HIT,1.00,-0.60,1.07,9,,2026-08-31 09:52:59
BNB_20260831095258182486,2026-08-31 09:52:58,BNB,1H,crypto,SYSTEM,12175014.0,12042024.572452271,12308003.427547729,12440992.855095457,,2,RANGING,D — Very low conviction,False,-0.519496411786031,0.30143355468694616,0.5,0.0,CLOSED,2026-09-01 19:03:10,12042024.572452271,LOSS - SL HIT,-1.00,-1.86,0.83,33,,2026-09-01 18:48:11
BTC_20260831095258899188,2026-08-31 09:52:58,BTC,1H,crypto,SYSTEM,1392749295.84,1376924951.8540397,1408573639.8259602,1424397983.8119204,,2,NEUTRAL,D — Very low conviction,False,0.13245031728129877,-0.05418064701918993,1.0,0.0,CLOSED,2026-09-01 07:54:43,1376924951.8540397,LOSS - SL HIT,-1.00,-1.29,0.00,3,,2026-08-31 09:52:59
BTC_20260831095318321708,2026-08-31 09:53:18,BTC,1H,crypto,MANUAL,1392523872.0,1376699528.0140398,1408348215.9859602,1424172559.9719205,,2,NEUTRAL,D — Very low conviction,False,0.13245031728129877,-0.05418064701918993,1.0,0.0,CLOSED,2026-09-01 07:54:43,1376699528.0140398,LOSS - SL HIT,-1.00,-1.27,0.00,3,,2026-08-31 09:53:19
UNI_20260901075513092389,2026-09-01 07:55:13,UNI,1H,crypto,SYSTEM,102386.06,97790.33241164671,106981.78758835328,111577.51517670657,,8,TRENDING_UP,A — High conviction,False,0.8333333333333334,-0.7386594781492998,1.0,1.0,CLOSED,2026-09-02 03:03:07,106981.78758835328,WIN - TP1 HIT,1.00,-0.82,1.05,19,,2026-09-02 02:48:08
ENSO_20260901075513682309,2026-09-01 07:55:13,ENSO,1H,crypto,SYSTEM,16254.560000000001,15628.104686077924,16881.01531392208,17507.470627844155,,5,TRENDING_UP,C — Low conviction,False,0.8333333333333334,-0.5531300096297256,1.0,-1.0,CLOSED,2026-09-01 10:08:40,15628.104686077924,LOSS - SL HIT,-1.00,-1.22,0.00,2,,2026-09-01 10:00:22
XRP_20260901075514265418,2026-09-01 07:55:14,XRP,1H,crypto,SYSTEM,24390.674000000003,23933.659218415567,24847.68878158444,25304.703563168874,,3,SQUEEZE,D — Very low conviction,False,0.13530298825782539,-0.15061808749409675,-0.5,1.0,CLOSED,2026-09-01 19:03:10,23933.659218415567,LOSS - SL HIT,-1.00,-1.58,0.31,11,,2026-09-01 18:48:11
DASH_20260901075514997423,2026-09-01 07:55:14,DASH,1H,crypto,SYSTEM,824918.9199999999,787846.4500063128,861991.389993687,899063.859987374,,2,TRENDING_UP,D — Very low conviction,False,0.6097454310401652,-0.18493267048997633,1.0,-1.0,CLOSED,2026-09-01 16:07:32,787846.4500063128,LOSS - SL HIT,-1.00,-1.23,0.07,8,,2026-09-01 15:48:09
DOT_20260901075515591742,2026-09-01 07:55:15,DOT,1H,crypto,SYSTEM,15371.16,15006.715532253063,15735.604467746936,16100.048935493873,,2,TRENDING_UP,D — Very low conviction,False,0.875,-0.6603818296140411,1.0,0.0,CLOSED,2026-09-02 04:03:09,15735.604467746936,WIN - TP1 HIT,1.00,-0.77,1.17,20,,2026-09-02 03:48:09
ARB_20260901080503119196,2026-09-01 08:05:03,ARB,1H,crypto,SYSTEM,1987.65,1862.6436037814044,2112.656396218596,2237.6627924371915,,6,TRENDING_UP,B — Moderate conviction,False,0.5323816627806224,-0.528347844661285,1.0,0.0,CLOSED,2026-09-01 19:03:11,1862.6436037814044,LOSS - SL HIT,-1.00,-1.12,0.55,10,,2026-09-01 18:48:11
ATOM_20260901080504149399,2026-09-01 08:05:04,ATOM,1H,crypto,SYSTEM,26537.336,26100.077047400096,26974.594952599902,27411.8539051998,,4,TRENDING_UP,D — Very low conviction,False,0.8615168321173547,-0.6923648033837325,1.0,0.0,CLOSED,2026-09-01 10:08:41,26100.077047400096,LOSS - SL HIT,-1.00,-1.16,0.00,1,,2026-09-01 10:00:22
AVAX_20260901080505165959,2026-09-01 08:05:05,AVAX,1H,crypto,SYSTEM,129047.072,127198.64270425966,130895.50129574034,132743.9305914807,,3,SQUEEZE,D — Very low conviction,False,0.6824216341966016,-0.4043954293382603,1.0,1.0,CLOSED,2026-09-01 19:03:11,127198.64270425966,LOSS - SL HIT,-1.00,-1.49,0.70,10,,2026-09-01 18:48:11
LTC_20260901080506225148,2026-09-01 08:05:06,LTC,1H,crypto,SYSTEM,863435.1599999999,852464.3548011745,874405.9651988253,885376.7703976507,,3,SQUEEZE,D — Very low conviction,False,0.33633305687384746,-0.09171286749918606,1.0,1.0,CLOSED,2026-09-01 15:38:39,874405.9651988253,WIN - TP1 HIT,1.00,-0.94,1.10,5,,2026-09-01 11:22:53
ENA_20260901112326027798,2026-09-01 11:23:26,ENA,1H,crypto,SYSTEM,2783.4616,2674.837637268321,2892.085562731679,3000.7095254633577,,5,TRENDING_UP,C — Low conviction,False,0.45898093851060456,-0.4969711637096181,1.0,1.0,CLOSED,2026-09-01 15:38:40,2892.085562731679,WIN - TP1 HIT,1.00,0.00,1.53,1,,2026-09-01 11:23:27
ATOM_20260901112326569901,2026-09-01 11:23:26,ATOM,1H,crypto,SYSTEM,26402.212000000003,25902.595436213127,26901.82856378688,27401.44512757376,,2,NEUTRAL,D — Very low conviction,False,0.49468959918492605,-0.06885606533719524,1.0,0.0,CLOSED,2026-09-01 15:38:40,25902.595436213127,LOSS - SL HIT,-1.00,-1.02,0.04,1,,2026-09-01 11:23:27
ENA_20260901112344417147,2026-09-01 11:23:44,ENA,1H,crypto,MANUAL,2783.4616,2674.837637268321,2892.085562731679,3000.7095254633577,,5,TRENDING_UP,C — Low conviction,False,0.45898093851060456,-0.4969711637096181,1.0,1.0,CLOSED,2026-09-01 15:38:40,2892.085562731679,WIN - TP1 HIT,1.00,0.00,1.53,1,,2026-09-01 11:23:45
